59021.718	44.9	8.9
59026.812	55.9	7.1
59027.773	-76.8	3.7
59032.735	-43.3	6.5
59034.763	49.2	3.9
59035.703	-84.9	4.5
59042.705	38.3	7.1
59044.768	53.7	4.6
59056.721	-90.3	5.9
59060.725	61.2	4.7
59071.792	-12.0	5.0
59080.633	-64.5	2.7
59097.824	8.3	1.0
59107.787	62.5	3.7
59175.527	48.2	5.2
59187.479	-84.8	5.1
59418.836	39.8	7.1
59454.757	-70.2	3.2
59455.686	59.1	4.9
59467.676	-80.9	5.5
59483.650	-52.8	3.1
59511.573	-47.1	5.0
59535.477	-86.0	1.7
59552.607	57.0	6.2
59572.550	-56.7	4.1
59583.474	10.9	4.9
59603.536	-86.9	6.2
59604.498	26.4	2.7
59607.468	57.0	5.7
59609.474	-15.2	2.7
59610.490	37.7	3.2
59697.873       -82.7   3.8
59710.835       -82.8   3.6
59714.805        60.1   4.6
59736.780       -70.7   2.1
59737.765        -5.8   4.4
59823.601       -82.4   3.3
59825.715       -68.6   3.8
59836.547       -83.9   3.6
59841.738       -84.9   4.0
59842.661        36.0   3.6
59857.633       -70.7   4.9
